state,last_changed
0,2025-09-18T21:00:00.000Z
3,2025-09-19T03:36:56.475Z
0,2025-09-19T03:37:18.333Z
5,2025-09-19T03:37:26.198Z
3,2025-09-19T03:37:40.177Z
8,2025-09-19T03:37:48.052Z
12,2025-09-19T03:38:09.759Z
14,2025-09-19T03:38:13.705Z
19,2025-09-19T03:38:23.706Z
17,2025-09-19T03:38:27.664Z
14,2025-09-19T03:38:31.593Z
16,2025-09-19T03:38:35.538Z
25,2025-09-19T03:38:49.485Z
28,2025-09-19T03:38:53.424Z
31,2025-09-19T03:39:07.376Z
33,2025-09-19T03:39:09.349Z
38,2025-09-19T03:39:11.359Z
44,2025-09-19T03:39:15.290Z
42,2025-09-19T03:39:19.234Z
36,2025-09-19T03:39:29.282Z
45,2025-09-19T03:39:31.223Z
51,2025-09-19T03:39:37.124Z
54,2025-09-19T03:39:39.089Z
56,2025-09-19T03:39:41.076Z
58,2025-09-19T03:39:53.072Z
56,2025-09-19T03:39:55.047Z
54,2025-09-19T03:40:00.953Z
56,2025-09-19T03:40:12.964Z
64,2025-09-19T03:40:14.938Z
74,2025-09-19T03:40:16.913Z
76,2025-09-19T03:40:18.878Z
77,2025-09-19T03:40:33.261Z
80,2025-09-19T03:40:35.226Z
78,2025-09-19T03:40:37.198Z
76,2025-09-19T03:40:39.170Z
78,2025-09-19T03:40:41.174Z
86,2025-09-19T03:40:45.114Z
97,2025-09-19T03:40:47.072Z
100,2025-09-19T03:40:55.120Z
98,2025-09-19T03:41:15.914Z
97,2025-09-19T03:41:17.909Z
94,2025-09-19T03:41:19.861Z
97,2025-09-19T03:41:27.748Z
94,2025-09-19T03:41:29.758Z
96,2025-09-19T03:41:37.774Z
99,2025-09-19T03:41:39.734Z
102,2025-09-19T03:41:43.660Z
110,2025-09-19T03:41:45.633Z
107,2025-09-19T03:41:47.609Z
110,2025-09-19T03:41:49.570Z
112,2025-09-19T03:41:51.531Z
109,2025-09-19T03:41:59.593Z
115,2025-09-19T03:42:01.559Z
117,2025-09-19T03:42:03.533Z
123,2025-09-19T03:42:13.388Z
124,2025-09-19T03:42:28.328Z
129,2025-09-19T03:42:30.333Z
132,2025-09-19T03:42:32.257Z
130,2025-09-19T03:42:44.254Z
125,2025-09-19T03:42:46.229Z
130,2025-09-19T03:42:48.192Z
132,2025-09-19T03:42:50.155Z
129,2025-09-19T03:42:52.131Z
139,2025-09-19T03:42:54.095Z
136,2025-09-19T03:42:56.052Z
137,2025-09-19T03:43:04.111Z
142,2025-09-19T03:43:06.117Z
140,2025-09-19T03:43:10.048Z
147,2025-09-19T03:43:12.014Z
148,2025-09-19T03:43:13.994Z
152,2025-09-19T03:43:15.961Z
157,2025-09-19T03:43:17.957Z
159,2025-09-19T03:43:26.003Z
163,2025-09-19T03:43:27.971Z
159,2025-09-19T03:43:29.976Z
162,2025-09-19T03:43:31.909Z
165,2025-09-19T03:43:33.873Z
167,2025-09-19T03:43:37.812Z
172,2025-09-19T03:43:39.784Z
170,2025-09-19T03:43:47.860Z
168,2025-09-19T03:43:49.843Z
175,2025-09-19T03:43:51.811Z
172,2025-09-19T03:43:53.764Z
175,2025-09-19T03:43:57.698Z
173,2025-09-19T03:43:59.679Z
178,2025-09-19T03:44:01.635Z
188,2025-09-19T03:44:09.675Z
200,2025-09-19T03:44:11.656Z
199,2025-09-19T03:44:13.630Z
205,2025-09-19T03:44:15.588Z
203,2025-09-19T03:44:17.559Z
196,2025-09-19T03:44:19.518Z
200,2025-09-19T03:44:21.493Z
197,2025-09-19T03:44:23.455Z
244,2025-09-19T03:44:31.513Z
252,2025-09-19T03:44:33.502Z
257,2025-09-19T03:44:35.445Z
265,2025-09-19T03:44:37.412Z
221,2025-09-19T03:44:39.386Z
223,2025-09-19T03:44:41.348Z
220,2025-09-19T03:44:45.287Z
268,2025-09-19T03:44:53.336Z
269,2025-09-19T03:44:55.308Z
274,2025-09-19T03:44:57.283Z
282,2025-09-19T03:44:59.235Z
279,2025-09-19T03:45:01.197Z
327,2025-09-19T03:45:03.184Z
325,2025-09-19T03:45:05.151Z
327,2025-09-19T03:45:07.113Z
342,2025-09-19T03:45:22.934Z
338,2025-09-19T03:45:26.887Z
389,2025-09-19T03:45:28.848Z
388,2025-09-19T03:45:36.896Z
348,2025-09-19T03:45:38.879Z
353,2025-09-19T03:45:40.850Z
359,2025-09-19T03:45:42.805Z
366,2025-09-19T03:45:44.768Z
358,2025-09-19T03:45:46.741Z
361,2025-09-19T03:45:48.709Z
365,2025-09-19T03:45:58.726Z
373,2025-09-19T03:46:00.723Z
424,2025-09-19T03:46:02.694Z
